top - 21:16:44 up 11:51,  2 users,  load average: 1.02, 0.92, 0.93
Tasks: 223 total,   1 running, 222 sleeping,   0 stopped,   0 zombie
%Cpu(s):  2.5 us,  0.7 sy,  0.0 ni, 96.0 id,  0.8 wa,  0.0 hi,  0.0 si,  0.0 st
KiB Mem:   1548732 total,  1439024 used,   109708 free,     5256 buffers
KiB Swap:  1657852 total,   581928 used,  1075924 free.   305604 cached Mem

  PID USER      PR  NI    VIRT    RES    SHR S  %CPU %MEM     TIME+ COMMAND
13540 tranquil  20   0 1044132 209712  26884 S  24.4 13.5  14:14.46 chrome
17106 tranquil  20   0   25004   2772   2328 R  12.2  0.2   0:00.03 top
11866 tranquil  20   0 1098060  73868  13500 S   6.1  4.8   6:45.01 chrome
17001 tranquil  20   0  837512 144964   4848 S   6.1  9.4   0:03.93 chrome
    1 root      20   0  182848   1964   1424 S   0.0  0.1   0:02.40 systemd
    2 root      20   0       0      0      0 S   0.0  0.0   0:00.02 kthreadd
    3 root      20   0       0      0      0 S   0.0  0.0   0:02.24 ksoftirqd/0
    5 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kworker/0:0H
    7 root      20   0       0      0      0 S   0.0  0.0   0:18.94 rcu_sched
    8 root      20   0       0      0      0 S   0.0  0.0   0:00.00 rcu_bh
    9 root      20   0       0      0      0 S   0.0  0.0   0:10.33 rcuos/0
   10 root      20   0       0      0      0 S   0.0  0.0   0:00.00 rcuob/0
   11 root      rt   0       0      0      0 S   0.0  0.0   0:00.01 migration/0
   12 root      rt   0       0      0      0 S   0.0  0.0   0:00.35 watchdog/0
   13 root      rt   0       0      0      0 S   0.0  0.0   0:00.34 watchdog/1
   14 root      rt   0       0      0      0 S   0.0  0.0   0:00.06 migration/1
   15 root      20   0       0      0      0 S   0.0  0.0   0:01.84 ksoftirqd/1
   17 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kworker/1:0H
   18 root      20   0       0      0      0 S   0.0  0.0   0:02.85 rcuos/1
   19 root      20   0       0      0      0 S   0.0  0.0   0:00.00 rcuob/1
   20 root      rt   0       0      0      0 S   0.0  0.0   0:00.32 watchdog/2
   21 root      rt   0       0      0      0 S   0.0  0.0   0:00.01 migration/2
   22 root      20   0       0      0      0 S   0.0  0.0   0:02.45 ksoftirqd/2
   24 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kworker/2:0H
   25 root      20   0       0      0      0 S   0.0  0.0   0:10.19 rcuos/2
   26 root      20   0       0      0      0 S   0.0  0.0   0:00.00 rcuob/2
   27 root      rt   0       0      0      0 S   0.0  0.0   0:00.32 watchdog/3
   28 root      rt   0       0      0      0 S   0.0  0.0   0:00.01 migration/3
   29 root      20   0       0      0      0 S   0.0  0.0   0:01.49 ksoftirqd/3
   31 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kworker/3:0H
   32 root      20   0       0      0      0 S   0.0  0.0   0:02.54 rcuos/3
   33 root      20   0       0      0      0 S   0.0  0.0   0:00.00 rcuob/3
   34 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 khelper
   35 root      20   0       0      0      0 S   0.0  0.0   0:00.00 kdevtmpfs
   36 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 netns
   37 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 perf
   38 root      20   0       0      0      0 S   0.0  0.0   0:00.03 khungtaskd
   39 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 writeback
   40 root      25   5       0      0      0 S   0.0  0.0   0:00.00 ksmd
   41 root      39  19       0      0      0 S   0.0  0.0   0:03.46 khugepaged
   42 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 crypto
   43 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kintegrityd
   44 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 bioset
   45 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kblockd
   46 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 ata_sff
   47 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 md
   48 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 devfreq_wq
   52 root      20   0       0      0      0 S   0.0  0.0   0:11.96 kswapd0
   53 root      20   0       0      0      0 S   0.0  0.0   0:00.00 fsnotify_mark
   54 root      20   0       0      0      0 S   0.0  0.0   0:00.00 ecryptfs-kthrea
   66 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kthrotld
   67 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 acpi_thermal_pm
   72 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 ipv6_addrconf
   93 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 deferwq
   94 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 charger_manager
  144 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kpsmoused
  150 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 rtsx_pci_sdmmc_
  151 root      20   0       0      0      0 S   0.0  0.0   0:00.00 scsi_eh_0
  152 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 scsi_tmf_0
  153 root      20   0       0      0      0 S   0.0  0.0   0:00.00 scsi_eh_1
  154 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 scsi_tmf_1
  155 root      20   0       0      0      0 S   0.0  0.0   0:00.00 scsi_eh_2
  156 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 scsi_tmf_2
  157 root      20   0       0      0      0 S   0.0  0.0   0:00.00 scsi_eh_3
  158 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 scsi_tmf_3
  159 root      20   0       0      0      0 S   0.0  0.0   0:00.00 scsi_eh_4
  160 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 scsi_tmf_4
  161 root      20   0       0      0      0 S   0.0  0.0   0:00.00 scsi_eh_5
  162 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 scsi_tmf_5
  182 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 ext4-rsv-conver
  228 root      20   0       0      0      0 S   0.0  0.0   0:00.00 kauditd
  248 root      20   0   29136   1880   1736 S   0.0  0.1   0:01.34 systemd-journal
  268 root      20   0   42028    564    460 S   0.0  0.0   0:00.66 systemd-udevd
  316 root     -51   0       0      0      0 S   0.0  0.0   0:00.00 irq/28-mei_me
  317 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kmemstick
  318 root       0 -20       0      0      0 S   0.0  0.0   0:00.09 kworker/0:1H
  329 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 cfg80211
  345 root     -51   0       0      0      0 S   0.0  0.0   1:40.20 irq/29-iwlwifi
  379 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kworker/u17:0
  380 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 hci0
  381 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 hci0
  382 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kworker/u17:1
  387 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 ktpacpid
  397 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kvm-irqfd-clean
  398 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kworker/1:1H
  408 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 hd-audio0
  415 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 iwlwifi
  498 systemd+  20   0  100272    332    332 S   0.0  0.0   0:00.46 systemd-timesyn
  627 syslog    20   0  255896    436    420 S   0.0  0.0   0:00.31 rsyslogd
  631 root      20   0  336416    800    600 S   0.0  0.1   0:00.04 ModemManager
  632 root      20   0  388096   5004   3632 S   0.0  0.3   0:06.38 NetworkManager
  634 root      20   0  153472    848    804 S   0.0  0.1   0:03.56 thermald
  635 root      20   0   19564    264    264 S   0.0  0.0   0:00.01 bluetoothd
  638 whoopsie  20   0  367760    664    664 S   0.0  0.0   0:00.17 whoopsie
  644 avahi     20   0   30320   1040    920 S   0.0  0.1   0:00.23 avahi-daemon
  665 root      35  15   18232   3504    836 S   0.0  0.2   0:46.10 preload
  668 root      20   0   28932    548    468 S   0.0  0.0   0:00.10 cron
  670 root      20   0   28548    432    420 S   0.0  0.0   0:00.38 systemd-logind
  679 root      20   0  284800   2036     48 S   0.0  0.1   0:04.21 accounts-daemon
  684 message+  20   0   43796   1764    672 S   0.0  0.1   0:09.53 dbus-daemon
  691 root      20   0   19440    612    508 S   0.0  0.0   0:04.76 irqbalance
  710 avahi     20   0   30188      0      0 S   0.0  0.0   0:00.00 avahi-daemon
  719 root      20   0   66252    296    296 S   0.0  0.0   0:00.04 atieventsd
  728 root      20   0    4528    384    384 S   0.0  0.0   0:00.62 acpid
  731 root      20   0  155980    708    688 S   0.0  0.0   0:00.04 cups-browsed
  732 root      20   0  280160    948    728 S   0.0  0.1   0:06.10 polkitd
  733 root       0 -20       0      0      0 S   0.0  0.0   0:00.12 kworker/2:1H
  734 root      10 -10       0      0      0 S   0.0  0.0   0:00.00 krfcommd
  748 root      20   0   59640   1384    704 S   0.0  0.1   0:00.07 sshd
  847 root      20   0   30752   1520   1184 S   0.0  0.1   0:00.47 wpa_supplicant
 1041 root      20   0  350320     24      0 S   0.0  0.0   0:00.04 lightdm
 1048 root      20   0  383520  16864   9036 S   0.0  1.1   7:55.50 Xorg
 1062 root      20   0   15856    252    252 S   0.0  0.0   0:00.00 agetty
 1098 nobody    20   0   36092    384    384 S   0.0  0.0   0:00.58 dnsmasq
 1233 rtkit     21   1  168956    340    340 S   0.0  0.0   0:00.86 rtkit-daemon
 1259 kernoops  20   0   35392    344    340 S   0.0  0.0   0:00.82 kerneloops
 1365 root      20   0  160556      4      0 S   0.0  0.0   0:00.01 lightdm
 1644 tranquil  20   0   42620    508      0 S   0.0  0.0   0:00.03 systemd
 1645 tranquil  20   0   62972      4      0 S   0.0  0.0   0:00.00 (sd-pam)
 1651 tranquil  20   0  135888    696    524 S   0.0  0.0   0:00.09 gnome-keyring-d
 1653 tranquil  20   0   31852    784      0 S   0.0  0.1   0:00.48 upstart
 1751 tranquil  20   0   43296   1824    660 S   0.0  0.1   0:08.82 dbus-daemon
 1763 tranquil  20   0   71040    404    176 S   0.0  0.0   0:00.19 window-stack-br
 1766 tranquil  20   0   20240    444    316 S   0.0  0.0   0:00.12 upstart-udev-br
 1786 tranquil  20   0  347748   1868    176 S   0.0  0.1   0:14.70 ibus-daemon
 1825 tranquil  20   0   18172    104      0 S   0.0  0.0   0:03.37 upstart-dbus-br
 1826 tranquil  20   0   18172    112      0 S   0.0  0.0   0:01.13 upstart-dbus-br
 1829 tranquil  20   0  641368  16084      0 S   0.0  1.0   0:07.80 hud-service
 1831 tranquil  20   0  793236   2912    452 S   0.0  0.2   0:02.62 unity-settings-
 1835 tranquil  20   0   26648    336    220 S   0.0  0.0   0:00.04 upstart-file-br
 1838 tranquil  20   0  703172   1092    452 S   0.0  0.1   0:00.37 gnome-session
 1840 tranquil  20   0  264216    492    332 S   0.0  0.0   0:00.00 at-spi-bus-laun
 1847 tranquil  20   0   42388    896    600 S   0.0  0.1   0:00.28 dbus-daemon
 1850 tranquil  20   0  123192    280      0 S   0.0  0.0   0:01.75 at-spi2-registr
 1853 tranquil  20   0  502312   7456      0 S   0.0  0.5   0:03.05 bamfdaemon
 1854 tranquil  20   0 1186864  40964  11588 S   0.0  2.6  10:32.87 compiz
 1864 tranquil  20   0  193328    380      0 S   0.0  0.0   0:00.09 gvfsd
 1868 tranquil  20   0  335224    256    256 S   0.0  0.0   0:00.00 gvfsd-fuse
